rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,pan,mobile
rec-561-dup-0,elton,,3,light setreet,pinehill,windermere,3212,vic,19651013,1551941,VLGBP4260O,+91 9285719615
rec-2642-dup-0,mitchell,maxon,47,edkins street,lochaoair,north ryde,3355,nsw,19390212,8859999,MXVVP4135D,(622) 476-8063
rec-608-dup-0,,white,72,lambrigg street,kelgoola,broadbeach waters,3159,vic,19620216,9731855,BHBEP9329B,
rec-3239-dup-0,elk i,menzies,1,lyster place,,northwood,2585,vic,19980624,4970481,KZDVP5830U,07197075682
rec-2886-dup-0,,garanggar,,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016,1366884,XTBDP8166F,9246489073
rec-4285-dup-0,sophie,manson,14,elizabeth xrescent,manorhouse,gorokan,3465,vic,19510201,4818868,PVBFP7295D,+91 9457952814
rec-929-dup-0,madison,morrison,38,peacock place,melim a,campbelltown,3021,wa,19481214,1967265,YKHYP2602L,09063110396
rec-4833-dup-0,jayed,millar,6,meredith c ircuit,,thornbury,6014,vic,19340731,1314310,KWHDP7923E,(615) 788-0816
rec-717-dup-0,joshua,raward,26,yambina cerscent,thorndale,macgrdgor,4718,qld,,9086686,LABNP5836J,8315203909
rec-3984-dup-0,david,sette,105,spring raghe road,jessiefield,villawood,2213,wa,19950603,9471099,XENTP2609Q,06360799164
rec-3138-dup-0,jacob,delfos,102,morgan crescent,valicare,geurie,4557,act,19510208,4071052,LFGSP9769T,+919948084046
rec-1424-dup-0,braiden,hering,26,snowde n place,peppercor lodge,new farm,3016,nsw,19240408,7720229,HXVIP1299I,8482535627
rec-825-dup-0,mia,wnite,1329,national circuit,sec 301,narembeen,2765,nsw,19130418,5053650,SXIXP1761Z,99073-75473
rec-520-dup-0,nicholas,mcneill,16,,tunis,bacchus marsh,6019,nsw,19800829,5215850,GXIJP6963F,(626) 507-7409
rec-3868-dup-0,rybak,jassim,16,newman morrisf circuit,brookfield,oromnd,2218,vic,19840706,8822389,RWJOP8082T,(949) 607-9835
rec-147-dup-0,cassandra,lock,5,glossop cerscent,kames,scarborough,6153,nsw,19371206,2516564,PDDFP6772H,(950) 859-9753
rec-919-dup-0,ilam,tschitrpig,61,biffin sreet,,blacktown,2221,nsw,19970528,6098354,RIHFP2147A,09670713367
rec-3156-dup-0,adam,ewald,,wentcher place,longstay caravn park,kempsey,5902,nsw,19180203,2268410,ZPCXP2069E,(818) 974-9758
rec-1026-dup-0,lochlan,weaver,30,carnegie crescent,gantham,wendouree,3197,nsw,19990511,4335106,PEBJP4740Y,6384608867
rec-3272-dup-0,zara,white,189,mackey place,doctors flat,hawthorn,4300,wa,19320621,7744887,SMUDP8510A,+91 7159134955
rec-4342-dup-0,,grubb,10,berne cresxent,yooringa,st hubertscisland,6539,nsw,19341211,6333533,HDIJP1785A,07369907496
rec-4788-dup-0,shanaye,averats,162,benjami n way,ashville,bamawm,3175,qld,19340625,8786773,LJQNP7245B,+916886408322
rec-3978-dup-0,,babic,1,totterdell street,cooingale,st albans,4060,sa,19450493,3346822,GGFQP7019Q,+91 6541264024
rec-2440-dup-0,amy,green,8,cahalan place,,east preston,2114,,19900401,2287496,ABPTP5308J,94096-24799
rec-4517-dup-0,isabe lla,waller,,blackbu rn street,omeo,stanmore,5035,vic,19500719,7270771,,60015-19716
rec-4595-dup-0,samuel,rudd,46,powlett street,,kingston,3453,sa,19580819,7309587,YSCFP8444G,+917129198248
rec-316-dup-0,jordan,whie,8,,,ryde,2148,vic,19890416,6617539,IXUBP5018G,+91 9283416454
rec-1413-dup-0,brielle,speabrs,8,tunney c rescent,hd blanch sec 28,rosslyn park,3350,wa,19890201,3140493,FSGHP0439X,+91 9686654304
rec-470-dup-0,harry,bishop,5,darwinia terrace,craigsto nl1bg,glenmore aprk,4830,wa,19781114,7781607,OALYP9105G,+91 7340668517
rec-2871-dup-0,noah,fusco,65,kruseplace,thepoints h olsteins,kununurra,3400,nsw,19490107,9136935,LCUTP0843J,(734) 668-3574
rec-4096-dup-0,stella,clarke,11,leist strewt,emerald banks,burnie,3152,wa,19020227,6990160,PNYWP4097Z,06126165669
rec-567-dup-0,bradley,sribar,32,sturt avenue,everge en,buronga,2710,sa,19511217,9160808,QUKYP5250U,
rec-3089-dup-0,annabel,thropr,21,airey crescent,galloway,rokeby,4670,vic,19920305,2814912,IYAJP2317X,+91 8970471815
rec-4233-dup-0,joshua,dixon,60,croton street,ethnam arm,surrey hills,2617,nsw,19481014,5540614,VLCMP6728A,09145622808
rec-3874-dup-0,jacob,wbeb,14,hawdon treet,aumuller house,forest lodge,6050,nsw,19450315,8971806,TCDIP0655X,+91 8034420026
rec-1168-dup-0,isabella,ryan,61,downes place,spring ridge,ardeer,3058,nsw,19331204,4702512,KOUAP2853F,6255843182
rec-4618-dup-0,chloe,musoilno,4,warrumbmul street,gordoivale,brighton,3728,ni,,7147784,AYYXP3972F,96874-08894
rec-2896-dup-0,blake,mcvicar,26,ellerston avenue,rosehill,bowral,3009,qld,19890504,1219082,KVNHP6418Q,+917940315906
rec-3044-dup-0,nicholas,mycko,259,alma close,farm shed,centennail park,3000,qld,19450728,3274337,QOMUP7971L,9833561720
rec-2852-dup-0,kiana,huxley,12,southern close,little dale,maryborough,2517,nsw,19140529,1728316,RASFP6038F,7566790258
rec-1492-dup-0,macormack,campball,21,shipard place,demountabel bldg,brighton,2546,qld,19640101,3116298,CMFBP5936I,+91 6759727170
rec-1108-dup-0,lachln,murton,191,barraclough crescent,medcl cntr (cnr queen s street,east hills,2707,nsw,19770527,2068877,ZSPGP7034U,(794) 345-3522
rec-2621-dup-0,casey,heran,10,cathie p lace,watarmark,rowville,6135,sa,19390522,8255871,RMFMP4652I,09829058874
rec-2867-dup-0,bailey,satte rley,28,newman morcbis circuit,carrington garden,beamont,2074,nsw,19730919,1989082,DWRPP9740Q,+91 9154369314
rec-2979-dup-0,caleb,dabinet,30,springfields farms,rodway tsreet,mount ommaney,3133,qld,19040620,2071263,KQPHP5962L,85331-16395
rec-4466-dup-0,bllke,white,16,brunto nstreet,rosetta village,frankxton,2800,vic,19731009,6366377,JOQRP4759J,+916823833346
rec-4903-dup-0,mihal,hannsh,,aspinal ls treet,,nyal west,6060,vic,,7161412,YLFTP1216F,+91 7175775803
rec-1445-dup-0,paige,webb,,arthaldo court,,cardkff,5023,vic,19341104,6388140,WBXEP8858K,08155565028
rec-2854-dup-0,nahan,bishop,2,osburn drive,noosa village shopping centre,woodhill,2530,vic,19961008,6472175,LHNJP3667N,06273098817
rec-4281-dup-0,saraa,carmody,14,gilmore crescent,brentwood vlge,denmark,4650,wa,19830421,7880298,PWAHP5057J,(756) 029-5570
rec-1831-dup-0,mia,reid,4,le hunte srreet,marretth,como,3777,vic,19800421,3451673,ANBBP8026P,9743763922
rec-172-dup-0,adamx,craze,,mcclintoxk street,loma langie,portarlington,3199,wa,19270510,3239913,QNHLP9411J,07520001406
rec-2239-dup-0,makenzi,elphick,31,copland drive,gwand alan,erskine,4214,wa,19500810,1011936,KJVYP8023O,08967086383
rec-2873-dup-0,rhys,horsley,11,,calalafarm,sale,7130,nsw,19070227,5179281,EHDUP0074T,+91 7301069960
rec-3040-dup-0,zane,webb,4,mackinolty street,mayflower rtrmnt vlge,ganmani,6018,vic,19190523,1897310,TGMOP5984A,6632518404
rec-1015-dup-0,bailey,zilm,11,,craigow,deer park,6112,tas,19471001,5100168,NAYAP0812W,08203775992
