name,pan_like_id,mobile,email,city,dob,source_customer_id,holdings,portfolio_value
Aryan Maharaj,RVIFL3321B,0133890838,harsh16@example.org,Bhatpara,1970-02-09,EQU-DEMO-s1,11,983912
Chaaya Pathak,QOXSF9310O,6475255341,nihalshere@example.com,Proddatur,1970-04-19,EQU-DEMO-s2,12,909791
Aadi Naik,ZTPDP7015K,1718227824,saimuni@example.com,Bahraich,2000-03-20,EQU-DEMO-s4,10,350000
Unni Bhagat,ZGPMM1065I,2624731781,khalsaojas@example.com,Ongole,1970-01-15,EQU-DEMO-s5,13,260000
Bhavani Dugar,ZPHAQ7849J,1241182449,yashasvi74@example.org,Bhusawal,1997-02-15,EQU-0003,10,1663033
Aarush Nath,JTBJA2427H,2805982620,shivansh31@example.com,Udupi,1993-08-11,EQU-0004,11,3110434
Indali Upadhyay,HQLLQ6850C,9655698169,hagarwal@example.net,Bharatpur,1979-08-12,EQU-0006,9,2103622
Frado Mander,WPRTO8951Z,2003791769,jkohli@example.net,Aligarh,1994-11-19,EQU-0008,11,4237855
Rajata Sunder,UKDIN0656I,6990162720,suhaninarain@example.com,Alwar,1993-09-21,EQU-0011,3,1392026
Zayyan Bumb,WOPEX7080P,0330923271,jyoti29@example.net,Ujjain,2003-01-31,EQU-0012,9,146309
Atharv Muni,ELSOP9663G,9190586518,bcherian@example.com,Jamnagar,1979-10-18,EQU-0013,12,2259467
Amrita Naidu,PWDKN3147Q,5075273545,varugheserayaan@example.org,Vellore,1982-02-17,EQU-0014,9,1718587
Vamakshi Swaminathan,OZSPT7014Q,7885685574,hansdiya@example.org,Nellore,1970-02-26,EQU-0015,1,988414
Chatresh Doshi,PHJWA2941M,8677496499,siddharthlalla@example.net,Sangli-Miraj & Kupwad,1971-03-10,EQU-0017,3,2273456
Raksha Buch,MQBFO9065R,4902787429,apall@example.com,Vasai-Virar,1998-05-17,EQU-0019,10,1897317
Nisha Tandon,DFUQU4680H,8087603859,amaradeep@example.com,Shivpuri,1965-12-23,EQU-0020,15,313510
Manthan Sekhon,JWIYD8755U,3963605766,yadavinarula@example.org,Salem,1983-10-11,EQU-0022,7,3022063
Vamakshi Sen,CGONC5891U,7007661771,dominicdate@example.com,Eluru,2004-05-25,EQU-0030,1,4950436
Hardik Contractor,OAVDZ8367A,5654527111,kalpit80@example.net,Bhilai,1978-09-17,EQU-0031,9,722023
Charan Mani,KGNJQ9451E,1585149368,lokeayush@example.org,Tirupati,2001-03-08,EQU-0032,10,620097
Abeer Golla,JVOBF2961V,6675254599,chandranbumb@example.com,Khandwa,1982-01-02,EQU-0033,10,4435419
Timothy Nath,HGMXW2181W,3124329212,onaidu@example.com,Gandhidham,1963-08-22,EQU-0036,6,2440647
Chavvi Maharaj,ETDCC9058D,4119986798,ekantasoni@example.net,Ghaziabad,1980-06-16,EQU-0037,5,1018285
Joshua Vyas,BXTLN1685V,3322141888,krishadube@example.org,Dehradun,1992-05-14,EQU-0039,11,3603211
Nirja Patla,WVYCO3794I,4735977468,lakshitkrishna@example.org,Serampore,1985-01-13,EQU-0040,6,1147394
Dev Shankar,YMCUT0430G,8740345054,ysarraf@example.com,Mehsana,1991-02-01,EQU-0044,15,3458940
Anvi Dass,GPKLL4981J,9959001094,tankbimala@example.net,Karawal Nagar,1971-05-30,EQU-0049,10,3695385
Darpan Dugar,NVMJU7677T,5625881537,lohitchatterjee@example.org,Yamunanagar,1998-08-28,EQU-0050,1,3707915
Vansha Naik,PCWRV3046T,4530174268,timothy32@example.com,Malda,1993-07-14,EQU-0058,4,4035732
Ojasvi Sinha,YFHCH8339T,1910883982,rdada@example.org,Mysore,2000-03-09,EQU-0059,15,4879077
Christopher Setty,KDJDR2867Z,0640391065,sodhiazad@example.com,Bokaro,1994-06-21,EQU-0060,4,1525444
Krishna Prashad,HLIZH1825I,0047868633,ranbir10@example.net,Srikakulam,1994-05-05,EQU-0061,11,4505457
Krishna Baral,NENVT1398A,3173936385,darika45@example.net,Kirari Suleman Nagar,1964-12-21,EQU-0064,4,3263132
Qarin Bhargava,WAAIO8010O,2038750997,barora@example.net,Jorhat,2003-08-24,EQU-0066,1,3000766
Garima Rajagopalan,DGBOE2185V,5047735866,merchantyatin@example.net,Gwalior,1972-06-04,EQU-0069,7,1188329
Ria Natt,UMSME6924U,6547935646,pranitbala@example.net,Bhagalpur,1979-12-05,EQU-0072,13,387709
Mugdha Narula,QOGVH6101J,7567982507,dalialucky@example.com,Tiruvottiyur,1980-09-01,EQU-0074,4,3950987
Gunbir Sarma,CZTHB7514V,2382825867,rachanarandhawa@example.org,Hospet,1986-09-10,EQU-0075,1,2666887
Vrinda Ganesh,SCROI1903S,7978819148,bkamdar@example.org,Bihar Sharif,1999-02-16,EQU-0078,6,3906573
Laksh Raja,KANPK2218C,3269731121,ymurty@example.org,Bally,1988-12-30,EQU-0083,4,3459366
Christopher Tata,QXGKR9252U,3800030756,ukapur@example.org,Imphal,1972-07-27,EQU-0087,12,4995813
Kashish Dar,ZHCZE8023D,4518705349,lpillay@example.com,Bongaigaon,1994-02-04,EQU-0088,5,168685
Jagdish Chana,NUJFT2490P,6804420678,zchaudry@example.org,Ahmedabad,1963-05-08,EQU-0091,3,1301560
Aadi Narula,TLZUD9325B,9218515691,nakulsarkar@example.net,Ratlam,1968-04-19,EQU-0095,4,1508053
Anya Rau,CZVSP2996D,4505444713,amruta69@example.net,Maheshtala,1980-01-26,EQU-0102,1,2310822
Daksh Varma,ZIXHK2148B,3303070534,rdasgupta@example.org,Serampore,1982-02-21,EQU-0103,9,3759689
Anvi Sampath,NDTRH6574N,9108589944,aradhana54@example.com,Maheshtala,1967-03-26,EQU-0105,2,3440466
Dakshesh Raval,SQAZY5207V,9935387584,gunbir72@example.net,Karaikudi,1994-03-15,EQU-0106,13,482950
Luke Mutti,OLUOD2175A,4329271296,arajagopal@example.org,Dindigul,2002-06-09,EQU-0108,1,4682620
Yuvraj Kara,YGLTK5421E,4478985625,netrabahl@example.org,Mira-Bhayandar,1969-12-05,EQU-0109,8,1035377
Kritika Rau,ZKCFF3177C,1701660880,yashoda83@example.net,Mau,1976-08-15,EQU-0115,1,1259263
Udant Sha,ETQXT5899C,1305548851,nimratchhabra@example.com,Maheshtala,1965-12-12,EQU-0116,8,2273172
Yuvraj Mahal,ZIIAM6547S,8583339452,jack58@example.com,Deoghar,1973-03-20,EQU-0118,12,808156
Agastya Virk,DQDMR1062W,4420438057,lopakhanna@example.net,Nashik,2001-05-26,EQU-0119,12,2562103
Balveer Dube,QTFYK5909J,1583281826,pallatimothy@example.org,Bathinda,1976-07-05,EQU-0121,10,3259014
Dominic Kade,ISVXB3613P,2075011024,aarnareddy@example.com,Machilipatnam,1979-09-09,EQU-0123,7,2147975
Ronith Lall,OBLLZ1108X,0848872563,gthaker@example.org,Bharatpur,1982-09-24,EQU-0127,13,3747892
Noah Varkey,KKQJV2722U,5037314530,dsingh@example.org,North Dumdum,1965-03-05,EQU-0128,15,2525565
Saumya Sinha,MJYLX7236L,2579913662,mdoctor@example.org,Fatehpur,2000-04-21,EQU-0131,11,2249169
Yahvi Dalal,IAXRP1729B,5086376599,vansha31@example.com,Bardhaman,1968-12-13,EQU-0132,2,3944558
Jacob Venkatesh,AXGJB0635P,4869594636,kamalasule@example.com,Gangtok,1975-10-15,EQU-0133,4,4559267
Vasatika Dada,RSOZU4163A,8804341651,irya39@example.com,Jhansi,1982-08-04,EQU-0137,14,3864445
Vamakshi Char,XJJZQ7545W,6159399824,fsekhon@example.com,Madhyamgram,1988-06-06,EQU-0141,11,266259
Oliver Nazareth,EFKVO6996U,4496475987,dasswahab@example.net,Vijayawada,1969-11-25,EQU-0142,6,2045914
Harshil Chandran,BXZHW1780F,4921643347,ayushbanerjee@example.net,Anantapur,1998-08-30,EQU-0143,12,3581273
Anita Saxena,MDOVO2829K,8845783174,chavvianne@example.org,Hapur,1973-04-02,EQU-0144,4,413772
Upma Golla,HXTPY3460X,3037183764,kulkarnivasana@example.net,Davanagere,1976-06-29,EQU-0147,11,4960394
Hardik Balay,NSLQD9678X,9103717058,banjeet14@example.org,Kadapa,1964-11-27,EQU-0151,2,3672842
Vinaya Rana,VHPPE9389R,5911665535,omkaar59@example.com,Gandhidham,1962-08-11,EQU-0156,10,1947159
Ryan Prakash,PNJSA2110V,4770538338,sdhaliwal@example.net,Gandhinagar,1986-04-15,EQU-0157,5,292876
Naksh Badami,PGRZD5554O,6084325621,omishakhosla@example.net,Purnia,2003-05-04,EQU-0159,12,307170
Samaksh Jayaraman,FSUDP1279B,0965699988,cshan@example.org,Thane,1985-03-04,EQU-0162,5,3767101
Wazir Kalla,CFMMA9776P,9830220502,garima10@example.org,Mangalore,1967-09-25,EQU-0165,5,1821959
Kai Taneja,NOTSM8772A,0713966055,baghyawatikumar@example.org,Dewas,1982-12-06,EQU-0167,1,3906698
Keya Warrior,LMHYW2996T,0461735743,prasadbaljiwan@example.org,Raiganj,1982-11-24,EQU-0169,14,938044
Xiti Dube,TXUJX3578G,3076810409,chauhandevika@example.org,Bhagalpur,1974-10-02,EQU-0170,12,2898043
