name,pan_like_id,mobile,email,city,dob,source_customer_id,policy_type,sum_assured,premium
Aryan Maharaj,RVIFL3321B,0133890838,hyadav@example.com,Bhatpara,1970-02-09,INS-DEMO-s1,ULIP,4244854,41579
Daksh Karnik,ENKTU0564N,6724238849,theodore28@example.com,Nashik,1998-07-10,INS-DEMO-s3a,ENDOWMENT,1033224,12811
Balveer Bumb,UQNQT6998U,4624751079,yashawinilanka@example.org,Coimbatore,1999-04-28,INS-0002,HEALTH,4937923,16390
Aarush Nath,JTBJA2427H,2805982620,shivansh31@example.com,Udupi,1993-08-11,INS-0004,ENDOWMENT,5163623,123858
Nicholas Goel,YAZQV6025Z,4216073375,hansmohini@example.com,Coimbatore,2003-03-06,INS-0005,HEALTH,4014944,180682
Dipta Dash,UZSSJ4846I,6629946804,udyati77@example.net,Sasaram,1981-06-15,INS-0007,HEALTH,1438483,65043
Frado Mander,WPRTO8951Z,2003791769,jkohli@example.net,Aligarh,1994-11-19,INS-0008,ULIP,5779418,60738
Atharv Muni,ELSOP9663G,9190586518,bcherian@example.com,Jamnagar,1979-10-18,INS-0013,HEALTH,7794150,46460
Amrita Naidu,PWDKN3147Q,5075273545,varugheserayaan@example.org,Vellore,1982-02-17,INS-0014,ULIP,6773233,47349
Vamakshi Swaminathan,OZSPT7014Q,7885685574,hansdiya@example.org,Nellore,1970-02-26,INS-0015,HEALTH,5659230,67770
Chatresh Doshi,PHJWA2941M,8677496499,siddharthlalla@example.net,Sangli-Miraj & Kupwad,1971-03-10,INS-0017,ENDOWMENT,4053384,146373
Naksh Agate,SCOST6797S,1349361832,gandhidamyanti@example.net,Bahraich,1966-02-08,INS-0018,ENDOWMENT,2530113,69986
Ekapad Johal,XJYMA9335R,2842102053,alkaben@example.org,Hajipur,1965-08-20,INS-0029,ENDOWMENT,3097059,54780
Vamakshi Sen,CGONC5891U,7007661771,dominicdate@example.com,Eluru,2004-05-25,INS-0030,ENDOWMENT,8936429,144231
Oeshi Mahajan,BHSRR3815L,8403690034,falak10@example.com,Akola,1966-04-27,INS-0034,HEALTH,4504485,74629
Xiti Pandya,BDEUK1606B,6416052975,rajatarattan@example.net,Tenali,1998-12-09,INS-0035,TERM,656287,125136
Chavvi Maharaj,ETDCC9058D,4119986798,ekantasoni@example.net,Ghaziabad,1980-06-16,INS-0037,HEALTH,2237893,40203
Balveer Kota,NKXXS7788Y,5905151864,finn92@example.com,Katni,1966-04-23,INS-0038,ULIP,4928914,137489
Dev Shankar,YMCUT0430G,8740345054,ysarraf@example.com,Mehsana,1991-02-01,INS-0044,ULIP,4471793,47598
Zilmil Loke,MLISU1616G,5447962757,omaharaj@example.org,Machilipatnam,1976-08-14,INS-0045,ULIP,4976257,46732
Bakhshi Date,YKCMJ1355R,5571928565,grewalxalak@example.net,Kishanganj,1965-10-25,INS-0046,ULIP,4240036,11203
Vritti Iyengar,LTCFZ1217R,5188442258,warjastak@example.org,Begusarai,1985-10-25,INS-0047,TERM,5182940,97050
Dayamai Rao,KEIUP7866E,7852892268,dakshagala@example.org,Kamarhati,1975-11-10,INS-0048,HEALTH,3495870,157198
Chakradev Rattan,XJSEY0983G,8499121655,yashodhararatti@example.net,Ranchi,1962-05-07,INS-0052,HEALTH,5766630,178903
Manthan Varma,KZNVT2595L,8887947055,avi97@example.com,Faridabad,1986-04-23,INS-0053,HEALTH,7251158,187769
Sarthak Suresh,YURSH5758K,6524041574,anita21@example.net,Latur,1962-11-13,INS-0055,HEALTH,4026280,117692
Odika Narayanan,JKAPE7120E,4540193802,ltandon@example.net,Agra,1961-01-15,INS-0056,ENDOWMENT,4085314,139001
Gautami Mane,IGDRM7887Z,5274205493,uvarma@example.org,Bareilly,1968-10-06,INS-0057,ULIP,3840845,43627
Hemangini Raj,JTYLW8566I,3342708668,aadhyajani@example.com,Hospet,1997-11-28,INS-0063,ULIP,5106980,120309
Dhriti Sachdev,BQJLL0932U,4235369378,ksharma@example.net,Gulbarga,1966-10-17,INS-0065,ENDOWMENT,7034336,158112
Yadavi Sani,JPMNH2118Q,4615679334,yraghavan@example.net,Pimpri-Chinchwad,1988-08-26,INS-0067,ENDOWMENT,8647720,12608
Fitan Tata,HCONS6591K,4014890250,tbose@example.org,Tezpur,1997-05-11,INS-0068,ULIP,8341505,38456
Garima Rajagopalan,DGBOE2185V,5047735866,merchantyatin@example.net,Gwalior,1972-06-04,INS-0069,TERM,4864698,104379
Gunbir Sarma,CZTHB7514V,2382825867,rachanarandhawa@example.org,Hospet,1986-09-10,INS-0075,TERM,3247534,86536
Arya Bhatnagar,XUMDH9182Q,8596969155,frado25@example.org,Farrukhabad,1965-10-12,INS-0076,HEALTH,2530966,153355
Omya Devi,FOISP9662L,7422579050,ptiwari@example.com,Pallavaram,1978-12-03,INS-0077,ENDOWMENT,6717147,23076
Vrinda Ganesh,SCROI1903S,7978819148,bkamdar@example.org,Bihar Sharif,1999-02-16,INS-0078,ENDOWMENT,2270648,118645
Adweta Kale,SOTGX0068A,6188924141,mahika91@example.com,Mathura,1963-03-08,INS-0085,HEALTH,8439993,150089
Radha D’Alia,TQVQV7990L,0202758842,balangautami@example.com,Loni,1963-06-12,INS-0086,HEALTH,6402401,189249
Christopher Tata,QXGKR9252U,3800030756,ukapur@example.org,Imphal,1972-07-27,INS-0087,ULIP,8623504,77482
Kashish Dar,ZHCZE8023D,4518705349,lpillay@example.com,Bongaigaon,1994-02-04,INS-0088,ULIP,6554579,52039
Radhika De,ZZSVU3445U,4313291212,idara@example.com,Bidhannagar,1974-03-14,INS-0090,ENDOWMENT,6216097,53329
Inaya Kunda,CUAKA1006F,5861793271,advika11@example.com,Gandhinagar,1967-09-18,INS-0097,HEALTH,8117381,23659
Girik Nigam,BPKMB9970K,1533688444,jswaminathan@example.org,Delhi,1979-06-14,INS-0098,TERM,9636240,63932
Frederick Padmanabhan,JDYHA8693I,9374160898,senoscar@example.org,Nellore,1966-03-09,INS-0100,HEALTH,7252972,76367
Anya Rau,CZVSP2996D,4505444713,amruta69@example.net,Maheshtala,1980-01-26,INS-0102,TERM,4340714,181763
Peter Som,KQVSF9855S,6029333346,pdeo@example.org,Rajahmundry,1971-09-28,INS-0104,ENDOWMENT,8812590,80554
Isha Kapoor,QLSDH4655E,9991738168,lakshiyer@example.com,Jehanabad,1999-12-02,INS-0107,ULIP,5332327,119849
Yamini Gara,OQXIN1506D,1001676184,mitraosha@example.net,Saharsa,1972-07-06,INS-0110,ULIP,8163605,149510
Manthan Chana,PODSQ8114D,1204556110,ishita79@example.com,Serampore,1996-06-29,INS-0112,ENDOWMENT,2993017,122059
Ishaan Rattan,SEZAP6746Z,1202169797,ayush27@example.com,Bulandshahr,1980-01-10,INS-0113,ULIP,6925184,66226
Kritika Rau,ZKCFF3177C,1701660880,yashoda83@example.net,Mau,1976-08-15,INS-0115,TERM,9323994,124780
Yuvraj Mahal,ZIIAM6547S,8583339452,jack58@example.com,Deoghar,1973-03-20,INS-0118,ENDOWMENT,2151601,171133
Vaishnavi Andra,PNNPC1573R,6164840858,minhasreyansh@example.com,Jalandhar,1968-01-01,INS-0122,TERM,8305654,80400
Dev Bath,SYRTM1581F,7660728326,kashvi08@example.net,Amravati,1962-06-22,INS-0124,ENDOWMENT,8606886,32958
Frederick Mody,PGJKL3536O,3129087814,vidhinarayanan@example.com,Noida,1965-01-13,INS-0125,HEALTH,868085,177550
Shravya Narasimhan,KKXZU9492B,0533645257,vidhi81@example.org,Parbhani,1998-06-02,INS-0126,ULIP,4704819,182671
Ronith Lall,OBLLZ1108X,0848872563,gthaker@example.org,Bharatpur,1982-09-24,INS-0127,TERM,6621355,196983
Victor Sachdeva,ENLKP5177A,3029922809,pranit86@example.net,Anantapuram,2002-04-25,INS-0130,ULIP,4285186,182294
Saumya Sinha,MJYLX7236L,2579913662,mdoctor@example.org,Fatehpur,2000-04-21,INS-0131,TERM,8130043,101622
Yahvi Dalal,IAXRP1729B,5086376599,vansha31@example.com,Bardhaman,1968-12-13,INS-0132,HEALTH,4213925,174778
Jacob Venkatesh,AXGJB0635P,4869594636,kamalasule@example.com,Gangtok,1975-10-15,INS-0133,ULIP,1260793,14754
Warda Sarna,MCYMG0384H,9205302146,zarnaaurora@example.net,Mysore,1984-10-25,INS-0135,ULIP,7938733,121574
Idika Malhotra,ZKAQL3937A,8184518489,wkohli@example.com,Jaunpur,2000-01-31,INS-0136,TERM,6662857,147728
Vasatika Dada,RSOZU4163A,8804341651,irya39@example.com,Jhansi,1982-08-04,INS-0137,HEALTH,3684459,37023
Harshil Chandran,BXZHW1780F,4921643347,ayushbanerjee@example.net,Anantapur,1998-08-30,INS-0143,HEALTH,1379109,38228
Aditya Sani,JXMAJ4930B,3266341638,nitara31@example.org,Ramagundam,1965-06-28,INS-0145,TERM,8535982,110281
Sudiksha Acharya,NXXNP8620U,8638782945,virkekalinga@example.org,Mangalore,1999-01-25,INS-0150,HEALTH,3060856,185046
Lekha Gupta,OLJVJ3839A,9576122868,upandey@example.net,Serampore,1978-10-11,INS-0152,ULIP,9834352,20723
Ekiya Khosla,XJVQX9836C,6004908240,anthony48@example.net,Bareilly,1962-04-18,INS-0153,HEALTH,7595702,194021
Vinaya Rana,VHPPE9389R,5911665535,omkaar59@example.com,Gandhidham,1962-08-11,INS-0156,ENDOWMENT,9911442,167981
Ryan Prakash,PNJSA2110V,4770538338,sdhaliwal@example.net,Gandhinagar,1986-04-15,INS-0157,ULIP,5084716,189208
Bhanumati Iyer,PAEYQ9407R,1046368157,rushiltella@example.com,Thane,1971-07-09,INS-0158,TERM,3543480,42552
Karan Goyal,MKNOM0994O,0517289752,nihalhans@example.org,Alappuzha,1994-04-10,INS-0161,TERM,1382629,45784
Ranveer Manne,DKBSN7644D,7718129826,golasudiksha@example.net,Malda,1964-08-08,INS-0163,HEALTH,7712753,34069
Bhavini Malhotra,RJKRH8571A,3858542493,sachi02@example.org,Dhanbad,1965-04-18,INS-0171,TERM,2956926,72100
Anvi Kurian,LVJQC0192X,4372805129,qkhanna@example.com,Bhagalpur,1986-01-21,INS-0179,HEALTH,5246166,106558
Chatura Lalla,ZETEV1027W,6674286047,chatterjeeirya@example.com,Thanjavur,1972-07-12,INS-0180,HEALTH,1605817,91426
Aadhya Raman,HVRSL7393U,0106181753,bajwageorge@example.org,Khora ,1988-09-16,INS-0181,ULIP,6369018,86325
Gabriel De,SLQSD6921Q,7465421406,alka27@example.org,Kollam,1987-06-28,INS-0182,ULIP,9331414,29498
Vyanjana Chopra,NPGCT2863Q,0119470720,forumraman@example.net,Kottayam,1991-10-08,INS-0183,ULIP,6233317,132473
Anirudh Sinha,ALODT9032Y,7929111799,znazareth@example.net,Anantapur,1965-12-13,INS-0186,ULIP,3222056,52407
Omaja Soni,HCAPL2324N,9279145608,pathakyashica@example.org,Dhule,1972-10-18,INS-0188,HEALTH,6906756,136833
Jasmit Peri,TXNIV2818P,7933554864,sneha78@example.net,Nandyal,1991-11-13,INS-0194,ULIP,1142620,80203
Mitesh Edwin,KICQX3105L,8055257828,xtata@example.org,Imphal,1967-07-02,INS-0197,ULIP,7543503,172497
Maanas Johal,ELWYF4785A,4628792326,mittaldaksha@example.com,Rajahmundry,1961-10-25,INS-0200,TERM,7050726,128243
Urmi Dash,SPPBH4627W,7195979647,ladnicholas@example.net,Ulhasnagar,1974-09-13,INS-0201,TERM,6078736,39972
