name,pan_like_id,mobile,email,city,dob,source_customer_id,schemes_held,aum
Aryan Maharaj,RVIFL3321B,0133890838,hemangini94@example.org,Bhatpara,1970-02-09,MF-DEMO-s1,1,1173556
Chaaya Pathak,,6475255341,nihalshere@example.com,Proddatur,1970-04-19,MF-DEMO-s2,2,2496705
Aadi Naik,ZTPDP7015K,1718227824,saimuni@example.com,Bahraich,2000-03-20,MF-DEMO-s4,4,300000
Unni Bhagat,ZGPMM1065I,2624731781,khalsaojas@example.com,Ongole,1970-01-15,MF-DEMO-s5,7,240000
Daniel Gala,YYDSB6064S,2343098050,daksheshtrivedi@example.org,Coimbatore,1986-10-25,MF-0001,6,448700
Bhavani Dugar,ZPHAQ7849J,1241182449,yashasvi74@example.org,Bhusawal,1997-02-15,MF-0003,2,212201
Aarush Nath,JTBJA2427H,2805982620,shivansh31@example.com,Udupi,1993-08-11,MF-0004,4,443630
Indali Upadhyay,HQLLQ6850C,9655698169,hagarwal@example.net,Bharatpur,1979-08-12,MF-0006,3,1958859
Dipta Dash,UZSSJ4846I,6629946804,udyati77@example.net,Sasaram,1981-06-15,MF-0007,1,1343105
Patrick Vasa,HDIZD7083Q,7986872774,rkhare@example.com,Baranagar,1970-12-14,MF-0009,5,2471931
Zayyan Bumb,WOPEX7080P,0330923271,jyoti29@example.net,Ujjain,2003-01-31,MF-0012,2,2879300
Amrita Naidu,PWDKN3147Q,5075273545,varugheserayaan@example.org,Vellore,1982-02-17,MF-0014,5,2699948
Harish Hari,TATII4352R,0842710947,charankrishnan@example.com,Amritsar,1978-04-07,MF-0016,2,379256
Naksh Agate,SCOST6797S,1349361832,gandhidamyanti@example.net,Bahraich,1966-02-08,MF-0018,6,1857524
Raksha Buch,MQBFO9065R,4902787429,apall@example.com,Vasai-Virar,1998-05-17,MF-0019,1,317766
Nisha Tandon,DFUQU4680H,8087603859,amaradeep@example.com,Shivpuri,1965-12-23,MF-0020,6,317197
Nikita Chander,PJFTS3171G,6773782639,oeshi58@example.com,Ichalkaranji,1992-07-31,MF-0021,4,2003792
Manthan Sekhon,JWIYD8755U,3963605766,yadavinarula@example.org,Salem,1983-10-11,MF-0022,2,2783973
Daksh Memon,PHAKR5562Y,2219693792,qkumer@example.org,Tumkur,1990-06-13,MF-0024,4,817793
Ethan Sathe,SQDTM5946Y,1369594406,tanejabhavini@example.org,Muzaffarnagar,1988-08-24,MF-0025,2,1878625
Suhani Pillay,GROEB4965N,9317461200,keerkrishna@example.com,Uluberia,1990-02-19,MF-0027,7,2056926
Mohammed Sachdeva,RCSXN1796C,3515850643,anshbedi@example.com,Cuttack,1995-04-06,MF-0028,1,710538
Abeer Golla,JVOBF2961V,6675254599,chandranbumb@example.com,Khandwa,1982-01-02,MF-0033,4,2448162
Oeshi Mahajan,BHSRR3815L,8403690034,falak10@example.com,Akola,1966-04-27,MF-0034,7,568943
Xiti Pandya,BDEUK1606B,6416052975,rajatarattan@example.net,Tenali,1998-12-09,MF-0035,5,575563
Timothy Nath,HGMXW2181W,3124329212,onaidu@example.com,Gandhidham,1963-08-22,MF-0036,3,1857879
Balveer Kota,NKXXS7788Y,5905151864,finn92@example.com,Katni,1966-04-23,MF-0038,4,1458144
Saumya Ahluwalia,JJUMH1043B,4341036971,varmawyatt@example.net,Jalna,1979-07-10,MF-0042,1,1568604
Wridesh Saha,EHIGY2185G,6706540515,kiaan05@example.net,Akola,1997-03-04,MF-0043,5,1549459
Chakradev Rattan,XJSEY0983G,8499121655,yashodhararatti@example.net,Ranchi,1962-05-07,MF-0052,2,2806014
Azad Choudhary,AJASN3075A,0283857865,irya49@example.com,Shahjahanpur,1972-11-28,MF-0054,7,2860877
Sarthak Suresh,YURSH5758K,6524041574,anita21@example.net,Latur,1962-11-13,MF-0055,1,1294543
Odika Narayanan,JKAPE7120E,4540193802,ltandon@example.net,Agra,1961-01-15,MF-0056,6,411694
Ojasvi Sinha,YFHCH8339T,1910883982,rdada@example.org,Mysore,2000-03-09,MF-0059,4,638959
Christopher Setty,KDJDR2867Z,0640391065,sodhiazad@example.com,Bokaro,1994-06-21,MF-0060,8,230631
Krishna Prashad,HLIZH1825I,0047868633,ranbir10@example.net,Srikakulam,1994-05-05,MF-0061,3,1968854
Krishna Baral,NENVT1398A,3173936385,darika45@example.net,Kirari Suleman Nagar,1964-12-21,MF-0064,3,2982936
Qarin Bhargava,WAAIO8010O,2038750997,barora@example.net,Jorhat,2003-08-24,MF-0066,4,2067782
Jalsa Chhabra,XWRGI1047F,6788861015,lekha04@example.com,Guwahati,1992-07-11,MF-0070,6,1435579
Ekapad Rege,QQJTB7243Y,1797968868,choprayuvraj@example.net,Rourkela,1989-02-06,MF-0073,4,105479
Mugdha Narula,QOGVH6101J,7567982507,dalialucky@example.com,Tiruvottiyur,1980-09-01,MF-0074,8,2827913
Vrinda Ganesh,SCROI1903S,7978819148,bkamdar@example.org,Bihar Sharif,1999-02-16,MF-0078,3,1846565
Aradhana Date,PWRZF2325J,6671168457,chandertara@example.net,Rajkot,1995-08-24,MF-0080,5,1910800
Charles Randhawa,TGANE4361E,9387005162,uchakraborty@example.org,Satara,1976-10-22,MF-0082,4,1508243
Laksh Raja,KANPK2218C,3269731121,ymurty@example.org,Bally,1988-12-30,MF-0083,8,2348577
Christopher Tata,QXGKR9252U,3800030756,ukapur@example.org,Imphal,1972-07-27,MF-0087,3,823381
Arjun Kaul,AWQYV8505U,1383670241,dpradhan@example.net,Amaravati,1964-11-03,MF-0089,5,2945180
Radhika De,ZZSVU3445U,4313291212,idara@example.com,Bidhannagar,1974-03-14,MF-0090,2,1700688
Kashish Chad,BEMPC9941Z,1510702966,wgera@example.org,Panipat,1972-12-12,MF-0092,2,2360727
Bakhshi Korpal,EDFRY4768I,3838065787,lipika42@example.org,Kavali,1970-04-09,MF-0093,8,1876906
Aadi Narula,TLZUD9325B,9218515691,nakulsarkar@example.net,Ratlam,1968-04-19,MF-0095,2,676545
Girik Nigam,BPKMB9970K,1533688444,jswaminathan@example.org,Delhi,1979-06-14,MF-0098,4,1803162
Varsha Iyengar,OSFEH1032T,7741862565,ria74@example.org,Phusro,1963-05-07,MF-0099,5,2515795
Frederick Padmanabhan,JDYHA8693I,9374160898,senoscar@example.org,Nellore,1966-03-09,MF-0100,8,1856093
Daksh Varma,ZIXHK2148B,3303070534,rdasgupta@example.org,Serampore,1982-02-21,MF-0103,5,781220
Anvi Sampath,NDTRH6574N,9108589944,aradhana54@example.com,Maheshtala,1967-03-26,MF-0105,1,2778427
Yamini Gara,OQXIN1506D,1001676184,mitraosha@example.net,Saharsa,1972-07-06,MF-0110,5,2154363
Ishaan Rattan,SEZAP6746Z,1202169797,ayush27@example.com,Bulandshahr,1980-01-10,MF-0113,7,203070
Kritika Rau,ZKCFF3177C,1701660880,yashoda83@example.net,Mau,1976-08-15,MF-0115,7,2766351
Agastya Krishnamurthy,OTTPX3973W,3472122816,kalpit29@example.com,Bathinda,1981-02-25,MF-0120,3,732963
Vaishnavi Andra,PNNPC1573R,6164840858,minhasreyansh@example.com,Jalandhar,1968-01-01,MF-0122,3,993868
Dominic Kade,ISVXB3613P,2075011024,aarnareddy@example.com,Machilipatnam,1979-09-09,MF-0123,5,2699903
Dev Bath,SYRTM1581F,7660728326,kashvi08@example.net,Amravati,1962-06-22,MF-0124,4,1619557
Shravya Narasimhan,KKXZU9492B,0533645257,vidhi81@example.org,Parbhani,1998-06-02,MF-0126,4,2690168
Ronith Lall,OBLLZ1108X,0848872563,gthaker@example.org,Bharatpur,1982-09-24,MF-0127,1,1315758
Adya Ghosh,PEHQY6659O,5577908272,siddharth22@example.org,Madanapalle,1992-03-12,MF-0129,5,710149
Warda Sarna,MCYMG0384H,9205302146,zarnaaurora@example.net,Mysore,1984-10-25,MF-0135,2,2072470
Vasatika Dada,RSOZU4163A,8804341651,irya39@example.com,Jhansi,1982-08-04,MF-0137,2,2799853
Vanya Zachariah,RXLDH0856S,5003691559,warjas47@example.net,Ambarnath,1968-09-22,MF-0139,4,307771
Janya Rattan,IKROG4729U,3866322702,vidhi44@example.net,Sikar,1964-12-27,MF-0140,3,2519728
Aditya Sani,JXMAJ4930B,3266341638,nitara31@example.org,Ramagundam,1965-06-28,MF-0145,7,2897701
Upma Golla,HXTPY3460X,3037183764,kulkarnivasana@example.net,Davanagere,1976-06-29,MF-0147,5,2638577
Idika Sarna,UIQCF3065T,8487392855,ekapadwali@example.org,Sagar,1996-09-08,MF-0149,6,1922112
Naksh Badami,PGRZD5554O,6084325621,omishakhosla@example.net,Purnia,2003-05-04,MF-0159,2,2245005
Balendra Chander,EWBJE4556S,2145868339,sulebhavna@example.com,Rampur,1983-10-02,MF-0166,6,322306
Abeer Comar,NBLMV5569V,7027278576,anirudh39@example.net,Raichur,1963-07-20,MF-0168,8,2912434
Xiti Dube,TXUJX3578G,3076810409,chauhandevika@example.org,Bhagalpur,1974-10-02,MF-0170,2,2245517
Bhavini Malhotra,RJKRH8571A,3858542493,sachi02@example.org,Dhanbad,1965-04-18,MF-0171,3,1010983
Praneel Sehgal,MTWQZ9545I,7921717477,januja62@example.net,Anantapur,1980-07-30,MF-0172,8,1965960
Eesha Raja,NQLEI6668M,5624220102,devanojasvi@example.com,Bokaro,1980-08-17,MF-0176,6,2557578
Upkaar Grewal,FUPTG6909R,8950097519,udyati81@example.net,Sambalpur,1981-06-03,MF-0177,2,1460482
Advay Singh,UVAWZ7879S,2094940792,mangatvedhika@example.org,Dibrugarh,1964-01-07,MF-0178,8,2218102
Aadhya Raman,HVRSL7393U,0106181753,bajwageorge@example.org,Khora ,1988-09-16,MF-0181,7,560862
Vyanjana Chopra,NPGCT2863Q,0119470720,forumraman@example.net,Kottayam,1991-10-08,MF-0183,4,970190
Vanya Sarin,AYSXE6183H,5460158517,rajagopalanrayaan@example.com,Aligarh,1988-05-19,MF-0184,2,1260641
Ekanta Kala,EHRJW0925A,5827390219,abuch@example.org,Hubli–Dharwad,1991-09-25,MF-0187,5,1902940
Omaja Soni,HCAPL2324N,9279145608,pathakyashica@example.org,Dhule,1972-10-18,MF-0188,8,1956426
Isaiah Dixit,QCDPX7722S,6459701082,bobalwahab@example.net,Guntakal,1986-02-22,MF-0189,6,2345912
Rushil Nanda,GPVAM3153Y,1797062397,tanvihari@example.net,Gopalpur,1969-07-13,MF-0190,3,1854892
Laban Choudhry,WVOSM7762K,9831687397,pkoshy@example.com,Adoni,1970-06-03,MF-0191,8,1486266
Siya Pillai,FZLSE1371G,4127238046,osha70@example.com,Rajkot,1961-08-09,MF-0195,8,2600957
Zinal Nayak,FLQSH6955J,7492424375,bhavani72@example.net,Jorhat,1973-03-09,MF-0196,7,486351
Mitesh Edwin,KICQX3105L,8055257828,xtata@example.org,Imphal,1967-07-02,MF-0197,2,220275
Anjali Patel,SHOEG6504M,1928554451,agastyadevan@example.net,Serampore,1994-11-26,MF-0202,3,585612
Pratyush Pant,OAHWU6638H,1827548015,tanmayi94@example.net,Kamarhati,1985-01-02,MF-0206,2,1800480
Dominic Mody,IUCDQ1520B,4079056965,jhagayathri@example.com,Rourkela,1987-09-08,MF-0211,8,165957
