name,pan_like_id,mobile,email,city,dob,source_customer_id,advisor_assigned,total_aum,risk_profile
Jai Kota,LJOLO3150A,0310518347,ykibe@example.com,Jhansi,1964-10-13,WEA-DEMO-s4b,Irya Sampath,2500000,CONSERVATIVE
Daniel Gala,YYDSB6064S,2343098050,daksheshtrivedi@example.org,Coimbatore,1986-10-25,WEA-0001,Netra Dar,7224068,MODERATE
Ekaja Zachariah,YSJTN1223E,6587603669,wahuja@example.com,Gurgaon,1984-04-25,WEA-0010,Vinaya Kanda,25293170,CONSERVATIVE
Atharv Muni,ELSOP9663G,9190586518,bcherian@example.com,Jamnagar,1979-10-18,WEA-0013,Veda Shroff,31448882,CONSERVATIVE
Vamakshi Swaminathan,OZSPT7014Q,7885685574,hansdiya@example.org,Nellore,1970-02-26,WEA-0015,Aradhana Vohra,22753744,MODERATE
Naksh Agate,SCOST6797S,1349361832,gandhidamyanti@example.net,Bahraich,1966-02-08,WEA-0018,Neha Magar,16079183,CONSERVATIVE
Nisha Tandon,DFUQU4680H,8087603859,amaradeep@example.com,Shivpuri,1965-12-23,WEA-0020,Nathan Mukhopadhyay,35504433,CONSERVATIVE
Alexander Dhawan,YQVNS6217Z,5865780913,wchaudhari@example.net,Raiganj,1967-12-15,WEA-0023,Ayush Batra,49869586,MODERATE
Ethan Sathe,SQDTM5946Y,1369594406,tanejabhavini@example.org,Muzaffarnagar,1988-08-24,WEA-0025,Laksh Chatterjee,37931706,CONSERVATIVE
Dayamai Sastry,FSUVA0952L,2858842474,dhaliwalupkaar@example.net,Proddatur,1976-09-23,WEA-0026,Akshay Lalla,1990382,CONSERVATIVE
Vamakshi Sen,CGONC5891U,7007661771,dominicdate@example.com,Eluru,2004-05-25,WEA-0030,Sudiksha Tiwari,22045662,CONSERVATIVE
Chavvi Maharaj,ETDCC9058D,4119986798,ekantasoni@example.net,Ghaziabad,1980-06-16,WEA-0037,Frado Thaman,8183062,AGGRESSIVE
Balveer Kota,NKXXS7788Y,5905151864,finn92@example.com,Katni,1966-04-23,WEA-0038,Dayita Puri,33784817,MODERATE
Nirja Patla,WVYCO3794I,4735977468,lakshitkrishna@example.org,Serampore,1985-01-13,WEA-0040,Zaitra Dash,43755954,MODERATE
Wridesh Saha,EHIGY2185G,6706540515,kiaan05@example.net,Akola,1997-03-04,WEA-0043,Varenya Gopal,9552724,CONSERVATIVE
Zilmil Loke,MLISU1616G,5447962757,omaharaj@example.org,Machilipatnam,1976-08-14,WEA-0045,Azaan Dhar,15927274,CONSERVATIVE
Bakhshi Date,YKCMJ1355R,5571928565,grewalxalak@example.net,Kishanganj,1965-10-25,WEA-0046,Sanaya Kala,45294077,CONSERVATIVE
Vritti Iyengar,LTCFZ1217R,5188442258,warjastak@example.org,Begusarai,1985-10-25,WEA-0047,Kai Chadha,44049110,AGGRESSIVE
Dayamai Rao,KEIUP7866E,7852892268,dakshagala@example.org,Kamarhati,1975-11-10,WEA-0048,Farhan Krishna,2852240,CONSERVATIVE
Anvi Dass,GPKLL4981J,9959001094,tankbimala@example.net,Karawal Nagar,1971-05-30,WEA-0049,Chameli Setty,24198669,AGGRESSIVE
Yuvraj Dutta,WKFGD5953F,7016873395,ssinghal@example.net,Moradabad,1979-08-06,WEA-0051,Jasmit Rau,37134901,AGGRESSIVE
Chakradev Rattan,XJSEY0983G,8499121655,yashodhararatti@example.net,Ranchi,1962-05-07,WEA-0052,Urvi Venkataraman,9363463,AGGRESSIVE
Manthan Varma,KZNVT2595L,8887947055,avi97@example.com,Faridabad,1986-04-23,WEA-0053,Lajita Divan,45754425,MODERATE
Azad Choudhary,AJASN3075A,0283857865,irya49@example.com,Shahjahanpur,1972-11-28,WEA-0054,Umang Mishra,13874170,MODERATE
Sarthak Suresh,YURSH5758K,6524041574,anita21@example.net,Latur,1962-11-13,WEA-0055,Viraj Ben,39922119,AGGRESSIVE
Christopher Setty,KDJDR2867Z,0640391065,sodhiazad@example.com,Bokaro,1994-06-21,WEA-0060,Kavya Raja,47701848,AGGRESSIVE
Krishna Prashad,HLIZH1825I,0047868633,ranbir10@example.net,Srikakulam,1994-05-05,WEA-0061,Wridesh Jhaveri,38508841,AGGRESSIVE
Harrison Bandi,VCZCO7903I,0284395995,odikamital@example.com,Proddatur,2002-05-15,WEA-0062,Prisha Tandon,18394050,CONSERVATIVE
Hemangini Raj,JTYLW8566I,3342708668,aadhyajani@example.com,Hospet,1997-11-28,WEA-0063,Rayaan Behl,23538346,MODERATE
Krishna Baral,NENVT1398A,3173936385,darika45@example.net,Kirari Suleman Nagar,1964-12-21,WEA-0064,Ekaja Jani,15358134,CONSERVATIVE
Garima Rajagopalan,DGBOE2185V,5047735866,merchantyatin@example.net,Gwalior,1972-06-04,WEA-0069,Mitesh Ramachandran,31984058,CONSERVATIVE
Mugdha Narula,QOGVH6101J,7567982507,dalialucky@example.com,Tiruvottiyur,1980-09-01,WEA-0074,Vasudha Pall,8676545,AGGRESSIVE
Gunbir Sarma,CZTHB7514V,2382825867,rachanarandhawa@example.org,Hospet,1986-09-10,WEA-0075,Aayush Kala,8254384,AGGRESSIVE
Arya Bhatnagar,XUMDH9182Q,8596969155,frado25@example.org,Farrukhabad,1965-10-12,WEA-0076,Lohit Vaidya,7838480,AGGRESSIVE
Shivani Lall,XZPNZ5171V,9629233095,ekiyamaster@example.com,Kottayam,2003-12-30,WEA-0079,Krishna Sabharwal,44651458,MODERATE
Aradhana Date,PWRZF2325J,6671168457,chandertara@example.net,Rajkot,1995-08-24,WEA-0080,Tejas Sanghvi,30230909,AGGRESSIVE
Laksh Raja,KANPK2218C,3269731121,ymurty@example.org,Bally,1988-12-30,WEA-0083,Bhavani Bala,17127866,AGGRESSIVE
Samesh Vasa,SPDYY9836P,6137918055,ipau@example.net,Chittoor,2002-08-19,WEA-0084,Anay Bir,28138900,AGGRESSIVE
Radha D’Alia,TQVQV7990L,0202758842,balangautami@example.com,Loni,1963-06-12,WEA-0086,Watika Shah,16471146,CONSERVATIVE
Kashish Dar,ZHCZE8023D,4518705349,lpillay@example.com,Bongaigaon,1994-02-04,WEA-0088,Matthew Ahuja,14027010,MODERATE
Arjun Kaul,AWQYV8505U,1383670241,dpradhan@example.net,Amaravati,1964-11-03,WEA-0089,Meera Borde,4054506,CONSERVATIVE
Jagdish Chana,NUJFT2490P,6804420678,zchaudry@example.org,Ahmedabad,1963-05-08,WEA-0091,Kalpit Hora,38771525,MODERATE
Bakhshi Korpal,EDFRY4768I,3838065787,lipika42@example.org,Kavali,1970-04-09,WEA-0093,Dalbir Sodhi,36069249,MODERATE
Viraj Dutta,IYVDW1334O,5223955905,waidamore@example.org,Agra,1964-08-09,WEA-0094,Theodore Bahri,21493721,AGGRESSIVE
Frederick Padmanabhan,JDYHA8693I,9374160898,senoscar@example.org,Nellore,1966-03-09,WEA-0100,Farhan Saran,9345232,MODERATE
Manbir Kuruvilla,JZJUR5116H,0998616229,chaudhuribhavika@example.net,Bulandshahr,1972-04-03,WEA-0101,Urvashi Barad,3675011,MODERATE
Anya Rau,CZVSP2996D,4505444713,amruta69@example.net,Maheshtala,1980-01-26,WEA-0102,Vedhika Varty,39600958,AGGRESSIVE
Dakshesh Raval,SQAZY5207V,9935387584,gunbir72@example.net,Karaikudi,1994-03-15,WEA-0106,Gautami Chakraborty,42970470,MODERATE
Luke Mutti,OLUOD2175A,4329271296,arajagopal@example.org,Dindigul,2002-06-09,WEA-0108,Rayaan Badami,28379791,CONSERVATIVE
Advika Murthy,OQVHH0899S,6375628900,egandhi@example.com,New Delhi,1975-03-12,WEA-0114,Chandresh Tripathi,9472243,AGGRESSIVE
Tanveer Shankar,CORLH3516X,7982708086,oscardave@example.org,Ghaziabad,1987-04-22,WEA-0117,Yamini Rajagopalan,44609799,CONSERVATIVE
Agastya Virk,DQDMR1062W,4420438057,lopakhanna@example.net,Nashik,2001-05-26,WEA-0119,Omaja Munshi,20687578,MODERATE
Dominic Kade,ISVXB3613P,2075011024,aarnareddy@example.com,Machilipatnam,1979-09-09,WEA-0123,Lopa Dani,30643983,MODERATE
Frederick Mody,PGJKL3536O,3129087814,vidhinarayanan@example.com,Noida,1965-01-13,WEA-0125,Rishi Nadkarni,27562073,MODERATE
Wahab Khurana,PNWJX4333G,1790807595,wgoswami@example.net,Sikar,1970-05-29,WEA-0138,Chatura Vora,2433274,CONSERVATIVE
Vanya Zachariah,RXLDH0856S,5003691559,warjas47@example.net,Ambarnath,1968-09-22,WEA-0139,Shivansh Saini,38192255,CONSERVATIVE
Janya Rattan,IKROG4729U,3866322702,vidhi44@example.net,Sikar,1964-12-27,WEA-0140,Darpan Kale,1190290,MODERATE
Anita Saxena,MDOVO2829K,8845783174,chavvianne@example.org,Hapur,1973-04-02,WEA-0144,Vyanjana Sood,31333570,AGGRESSIVE
Aditya Sani,JXMAJ4930B,3266341638,nitara31@example.org,Ramagundam,1965-06-28,WEA-0145,Sneha Magar,44173862,CONSERVATIVE
Tejas Chowdhury,KYRLH3650Z,0097925132,darpan05@example.net,Jorhat,1995-06-17,WEA-0148,Vinaya Kaul,7655753,AGGRESSIVE
Sudiksha Acharya,NXXNP8620U,8638782945,virkekalinga@example.org,Mangalore,1999-01-25,WEA-0150,Hredhaan Sunder,32827579,CONSERVATIVE
Ekiya Khosla,XJVQX9836C,6004908240,anthony48@example.net,Bareilly,1962-04-18,WEA-0153,Nachiket Devi,9202802,MODERATE
Jeevika Krish,KZKNU3441E,7279194096,radha61@example.org,Eluru,1963-01-06,WEA-0154,Eiravati Zacharia,35051879,CONSERVATIVE
Ryan Prakash,PNJSA2110V,4770538338,sdhaliwal@example.net,Gandhinagar,1986-04-15,WEA-0157,Aadhya Garde,45146306,AGGRESSIVE
Bhanumati Iyer,PAEYQ9407R,1046368157,rushiltella@example.com,Thane,1971-07-09,WEA-0158,Gauri Suri,39005165,AGGRESSIVE
Karan Goyal,MKNOM0994O,0517289752,nihalhans@example.org,Alappuzha,1994-04-10,WEA-0161,Anamika Sachar,11563599,AGGRESSIVE
Ranveer Manne,DKBSN7644D,7718129826,golasudiksha@example.net,Malda,1964-08-08,WEA-0163,Nihal Dasgupta,35382978,CONSERVATIVE
Ishaan Sengupta,UYGNK5186Y,0259222206,pratyush12@example.org,Nizamabad,1961-03-04,WEA-0164,Wishi Ahluwalia,36361949,AGGRESSIVE
Wazir Kalla,CFMMA9776P,9830220502,garima10@example.org,Mangalore,1967-09-25,WEA-0165,Peter Shah,10209671,MODERATE
Abeer Comar,NBLMV5569V,7027278576,anirudh39@example.net,Raichur,1963-07-20,WEA-0168,Avni Balasubramanian,12534213,AGGRESSIVE
Bhavini Malhotra,RJKRH8571A,3858542493,sachi02@example.org,Dhanbad,1965-04-18,WEA-0171,Gabriel Sandhu,14238686,CONSERVATIVE
Radhika Oommen,VTKFH8321L,5817246191,fbhat@example.org,Amaravati,2000-05-18,WEA-0174,Manan Dixit,24618442,AGGRESSIVE
Eesha Raja,NQLEI6668M,5624220102,devanojasvi@example.com,Bokaro,1980-08-17,WEA-0176,Shivani Rajagopalan,39945247,AGGRESSIVE
